pid,YR1001,nat,H00109,H00110,H99010,sex,birth_yr,no_children,no_people,emp_status,garden,sugar,animals
31155,2015,BEL,4000,0,250,0,1965,2,4,4,1,50,2
33276,2000,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2001,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2002,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2003,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2004,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2005,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2006,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2007,NLD,4000,200,500,1,1970,1,3,3,3,0,1
33276,2008,NLD,4500,200,500,1,1970,1,3,3,3,0,1
33276,2009,NLD,5000,200,500,1,1970,1,3,3,3,0,1
33276,2010,NLD,5000,200,500,1,1970,1,3,3,3,0,1
33276,2011,NLD,5500,200,500,1,1970,1,3,3,3,0,1
33276,2012,NLD,5500,200,500,1,1970,1,3,3,3,0,0
33276,2013,NLD,5500,200,500,1,1970,1,3,3,3,0,0
33276,2014,NLD,5500,200,500,1,1970,1,3,3,3,0,0
33276,2015,NLD,5500,200,500,1,1970,1,3,3,3,0,0
40023,2000,AUS,200,0,0,0,1989,0,0,1,1,200,0
40023,2001,AUS,200,0,0,0,1989,0,0,1,1,200,0
40023,2002,AUS,200,0,0,0,1989,0,0,1,1,200,0
40023,2003,AUS,200,0,0,0,1989,0,0,1,1,200,0
40023,2004,AUS,200,0,0,0,1989,0,0,1,1,200,0
40023,2005,AUS,1000,0,0,0,1989,0,0,3,1,200,0
40023,2006,AUS,1000,0,0,0,1989,0,0,3,1,200,0
40023,2007,AUS,2000,0,0,0,1989,0,0,3,1,200,0
40023,2008,AUS,2000,0,0,0,1989,0,0,3,1,200,0
40023,2009,AUS,2000,0,0,0,1989,0,0,3,1,200,0
40023,2010,AUS,2000,0,0,0,1989,0,0,3,1,200,0
40023,2011,AUS,2500,0,0,0,1989,0,0,3,1,200,0
40023,2012,AUS,2500,0,0,0,1989,0,0,3,1,200,0
40023,2013,AUS,2500,0,0,0,1989,0,0,3,1,200,0
40023,2014,AUS,3000,0,0,0,1989,0,0,3,1,200,0
40023,2015,AUS,3000,0,0,0,1989,0,0,3,1,200,0
44777,2000,DEU,1500,0,0,1,1987,0,2,3,1,100,0
44777,2001,DEU,1500,0,0,1,1987,0,2,3,1,100,0
44777,2002,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2003,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2004,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2005,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2006,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2007,DEU,1750,0,0,1,1987,0,2,3,1,100,1
44777,2008,DEU,50,0,0,1,1987,0,2,3,1,100,1
44777,2009,DEU,1000,0,0,1,1987,0,2,3,1,100,1
44777,2010,DEU,1500,0,0,1,1987,0,2,3,1,100,1
44777,2011,DEU,1500,0,0,1,1987,0,2,3,1,100,1
44777,2012,DEU,2000,0,0,1,1987,0,2,3,1,100,1
44777,2013,DEU,2000,0,0,1,1987,0,2,3,1,100,1
44777,2014,DEU,2200,0,0,1,1987,0,2,3,1,100,1
44777,2015,DEU,2200,0,0,1,1987,0,2,3,1,100,1
50001,2000,GBR,5000,100,500,0,1950,3,5,4,4,150,2
50001,2001,GBR,5000,100,500,0,1950,3,5,4,4,150,2
50001,2002,GBR,5000,100,500,0,1950,3,5,4,4,150,2
50001,2003,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2004,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2005,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2006,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2007,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2008,GBR,5500,100,500,0,1950,3,5,4,4,150,2
50001,2009,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2010,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2011,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2012,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2013,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2014,GBR,6000,100,750,0,1950,3,5,4,4,150,2
50001,2015,GBR,6000,100,750,0,1950,3,5,4,4,150,2
55522,2000,BEL,50,0,250,0,1990,0,3,3,1,250,0
55522,2001,BEL,50,0,250,0,1990,0,3,3,1,250,0
55522,2002,BEL,50,0,250,0,1990,0,3,3,1,250,0
55522,2003,BEL,500,0,250,0,1990,0,3,3,1,250,0
55522,2004,BEL,500,0,250,0,1990,0,3,3,1,250,0
55522,2005,BEL,500,0,250,0,1990,0,3,3,1,250,0
55522,2006,BEL,1500,0,250,0,1990,0,3,3,1,250,0
55522,2007,BEL,1500,0,250,0,1990,0,3,3,1,250,0
55522,2008,BEL,1500,0,250,0,1990,0,3,3,1,250,0
55522,2009,BEL,1500,0,250,0,1990,0,3,3,1,250,0
55522,2010,BEL,1500,0,250,0,1990,0,3,3,1,250,0
55522,2011,BEL,2000,0,250,0,1990,0,3,3,1,250,0
55522,2012,BEL,2000,0,250,0,1990,0,3,3,1,250,0
55522,2013,BEL,2000,0,250,0,1990,0,3,3,1,250,0
55522,2014,BEL,2000,0,250,0,1990,0,3,3,1,250,0
55522,2015,BEL,2000,0,250,0,1990,0,3,3,1,250,0
60053,2000,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2001,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2002,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2003,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2004,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2005,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2006,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2007,NLD,2000,0,0,1,1980,0,1,3,2,100,0
60053,2008,NLD,2000,0,0,1,1980,0,2,3,2,100,0
60053,2009,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2010,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2011,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2012,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2013,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2014,NLD,3000,0,0,1,1980,0,2,3,2,100,0
60053,2015,NLD,3000,0,0,1,1980,0,2,3,2,100,0
65222,2000,AUS,3000,0,0,1,1987,0,1,4,3,50,0
65222,2001,AUS,3000,0,0,1,1987,0,1,4,3,50,0
65222,2002,AUS,3000,0,0,1,1987,0,2,4,3,50,0
65222,2003,AUS,3000,0,0,1,1987,0,2,4,3,50,0
65222,2004,AUS,3000,100,0,1,1987,0,2,4,3,50,0
65222,2005,AUS,3000,100,0,1,1987,0,2,4,3,50,0
65222,2006,AUS,3000,100,0,1,1987,0,2,4,3,50,0
65222,2007,AUS,3000,100,0,1,1987,1,3,4,3,50,0
65222,2008,AUS,3000,0,0,1,1987,1,3,4,3,50,0
65222,2009,AUS,3000,0,0,1,1987,1,3,4,3,50,0
65222,2010,AUS,3000,150,100,1,1987,1,3,4,3,50,0
65222,2011,AUS,3000,150,100,1,1987,1,3,4,3,50,1
65222,2012,AUS,3000,150,100,1,1987,1,3,4,3,50,1
65222,2013,AUS,3000,150,100,1,1987,1,3,4,3,50,1
65222,2014,AUS,3000,150,100,1,1987,1,3,4,3,50,1
65222,2015,AUS,3000,150,100,1,1987,1,3,4,3,50,1
